"HITID","First","Second","Third","Worker1","Answer1","Worker2","Answer2","Agreement","Answer","Date"
"3ZZAYRN1I6SBNAT2C5TH72EWV49TOE","thou pledge your nothing  Came Joab Let Erskine how","by in calls the colt  draw strains to","Wexler subpoenas jury grand the against did they know I","A2HESXT4DAGASU","First","A2YAYHZYI7M3HD","First","Yes","First","Tue Dec 09 06:23:54 UTC 2014"
"3JHB4BPSFKAVO7X4TCG4578KGYP9Q3","deliver light laying guard hat chased other big hands terrific","for for the of moderately you A an a certain","of none viewpoint historic this Seeking  Club Democratic the","A1K9WP8Q74E9G2","First","A2YAYHZYI7M3HD","First","Yes","First","Tue Dec 09 06:21:05 UTC 2014"
"3LB1BGHFL2XNHOX4IS2F9TCY9E8YTU","voice fled form summit unknown sing discovered Tory  From","is larger Since to beebread unbounded rational laundering Slowly He","6000 than more two  director CD the as fell","A2HESXT4DAGASU","First","A2YAYHZYI7M3HD","First","Yes","First","Tue Dec 09 06:24:34 UTC 2014"
"3OJX0UFJ0Z8NG04LAL09F859JJV9U8","Cast His them your clear  disadvantage  From growing","and in minute   eye splendid night box No","the for Wagner Mayor The  tolerated be will He","A2WGW5Y3ZFBDEC","First","A2YAYHZYI7M3HD","First","Yes","First","Tue Dec 09 06:18:44 UTC 2014"
"3PKVGQTFIHLA19KCE3XK9EBGLTBYRH","we go sound examining that lighting particular harpoons in His","sheets while liberal reduced took could believe up activities take","ends week Last  week last Buckley Mr visited Mayor","A1K9WP8Q74E9G2","First","A2HESXT4DAGASU","First","Yes","First","Tue Dec 09 06:19:11 UTC 2014"
"3R6RZGK0XFD2UG1TNN2UAB0J6ZOYVA","formed litigious  speed  farther important shall recognised","safe and the we the   fine have","Geraghtys Mrs and local the involve mostly  reared","A2T5CROJ0FWIJY","First","A2YAYHZYI7M3HD","First","Yes","First","Tue Dec 09 06:22:59 UTC 2014"
"3D3B8GE892SAOVWPTZ1F52IAB239PC","so best been he beard unto here that circling Thaw","the still climbed the than found Lundy 75 back thanks","Kappa of salary the heard been had agreement An","A2HESXT4DAGASU","First","AIQ1I6ODSIO56","First","Yes","First","Tue Dec 09 06:23:02 UTC 2014"
"32TZXEA1OLL6AX7BR2UYNYPWMUJ417","mortal dust Blood friendly shall Barnabas all bread","of  the The the his the using  a","seasons previous two through broke and  hole par5 a","A2T5CROJ0FWIJY","First","A2YAYHZYI7M3HD","First","Yes","First","Tue Dec 09 06:22:16 UTC 2014"
"3LXX8KJXPWAS3VKOEZO0G2DK1X79OV","longer sharp original presented becometh He me observed voice Do","the box design human cows of defense suds But difficulty","MacDonald Malcolm  wife and Mr  bombing the","A2YAYHZYI7M3HD","First","AIQ1I6ODSIO56","First","Yes","First","Tue Dec 09 06:25:41 UTC 2014"
"3MIVREZQVHZF53GVX97TVGM0RS0QKD","own Winter  a broken enough till remarkably noble use","to powers gone manner strong 1946  now their deserving","enjoy to application detailed now is  Zinman Jacques Mrs","A2HESXT4DAGASU","First","A2YAYHZYI7M3HD","First","Yes","First","Tue Dec 09 06:24:58 UTC 2014"
